node	tissue
GL	P
0	P
0-P	P
1-5	P
1-5-P	P
33	P
33-P	P
644	P
644-P	P
739	P
739-P	P
1200-P	P
944	P
944-P	P
1135-P	P
1044	P
1044-P	P
1172-P	P
1091-P	P
1095-P	P
1140-P	P
1179-P	P
520-659	P
520-659-P	P
975-1089-P	P
1197-P	P
1004-P	P
1174-P	P
3	P
18	P
168-208	P
661-838	P
661-838-P	P
1137-P	P
682-983-P	P
194-415-P	P
200	P
200-P	P
714	P
714-P	P
1147-P	P
1181-P	P
345	P
345-P	P
1191-P	P
624-860	P
624-860-P	P
1150-P	P
1186-P	P
1025-P	P
48-76	P
48-76-P	P
151	P
214-305-704	P
866	P
866-P	P
1011-P	P
903	P
903-P	P
1142-P	P
972	P
972-P	P
1092-P	P
1184-P	P
740	P
740-P	P
1175-P	P
930-P	P
170	P
232	P
232-P	P
666	P
666-P	P
942-P	P
471-718-P	P
14	P
23	P
619-753	P
619-753-P	P
789-P	P
1146-P	P
703	P
703-P	P
1001-P	P
1193-P	P
626	P
626-P	P
713	P
713-P	P
1050-P	P
1094	P
1094-P	P
1141-P	P
1183-P	P
1173-P	P
1190-P	P
931-1090-P	P
1008-P	P
26	P
335	P
842	P
842-P	P
1177-P	P
1178-P	P
1185-P	P
935-P	P
513-P	P
28	P
93-221	P
93-221-P	P
913-P	P
1176-P	P
243-330-408	P
243-330-408-P	P
748-970	P
748-970-P	P
1133-P	P
1134	P
1134-P	P
1192-P	P
1194-P	P
1195-P	P
358-383	P
358-383-P	P
908	P
908-P	P
1180-P	P
29	P
858-P	P
939	P
939-P	P
1018-P	P
45-363	P
45-363-P	P
1059	P
1059-P	P
1099-P	P
285	P
285-P	P
1055-P	P
1144-P	P
1187-P	P
1196-P	P
288	P
288-P	P
332	P
332-P	P
864	P
864-P	P
902	P
902-P	P
1198-P	P
1182-P	P
892	P
892-P	P
1143-P	P
594	P
594-P	P
1189-P	P
973-P	P
1013-P	P
1054-P	P
1088-P	P
1199-P	P
388-570	P
388-570-P	P
1024-P	P
1188-P	P
441	P
441-P	P
787-P	P
831-1015-P	P
1022-P	P
151-M1	M1
1153-M1	M1
1206-M1	M1
1212-M1	M1
1217-M1	M1
1220-M1	M1
67-107-250	P
67-107-250-M1	M1
737-M1	M1
768-805-843-M1	M1
987-M1	M1
994-M1	M1
1027-M1	M1
1064-M1	M1
1066-M1	M1
1072-M1	M1
1109-M1	M1
1115-M1	M1
1158-M1	M1
1207-M1	M1
1213-M1	M1
1223-M1	M1
0-M2	M2
168-208-M2	M2
996-M2	M2
1076-M2	M2
1078-M2	M2
1124-M2	M2
1125-M2	M2
1127-M2	M2
1166-M2	M2
1167-M2	M2
1224-M2	M2
1225-M2	M2
1119-M2	M2
1163-M2	M2
1164-M2	M2
733-M3	M3
204-M3	M3
738-781-M3	M3
853-M3	M3
1131	M3
1131-M3	M3
1229-M3	M3
1169-M3	M3
1228-M3	M3
1230-M3	M3
661-838-M4	M4
1231-M4	M4
949-M4	M4
1082-M4	M4
842-M4	M4
748-970-M4	M4
1171-M4	M4
1-5-M5	M5
M3-0	P
M4-0	M4
949	M4
M4-2	M4
M2-4	M2
204	M3
M2-5	M2
M1-0	M1
M1-1	M1
