node	tissue
GL	P
0	P
1-6	P
1-6-P	P
301	P
301-P	P
1220-P	P
454	P
454-P	P
621-P	P
716	P
716-P	P
1169-P	P
1247-P	P
815-932-1082-P	P
1149	P
1149-P	P
1264-P	P
1251-P	P
2	P
2-P	P
82-703-1029-P	P
461-552-978-P	P
914	P
914-P	P
1063	P
1063-P	P
1260-P	P
1258-P	P
986	P
986-P	P
1216-P	P
1204-P	P
1262-P	P
5	P
41-93-215	P
41-93-215-P	P
1161-P	P
1212-P	P
194	P
194-P	P
657-P	P
781	P
781-P	P
1248-P	P
958-1066-1153-P	P
964-P	P
1257-P	P
1263-P	P
1265-P	P
16	P
16-P	P
98	P
98-P	P
662-P	P
1121-P	P
1126-P	P
305-450-665	P
305-450-665-P	P
1061-P	P
411	P
411-P	P
562-830-886	P
562-830-886-P	P
1252-P	P
20-117-388-507	P
20-117-388-507-P	P
855	P
855-P	P
1259-P	P
1217-P	P
31	P
31-P	P
545-918-P	P
667-970	P
667-970-P	P
1210-P	P
1255-P	P
33	P
428	P
428-P	P
1130-P	P
928	P
928-P	P
1165-P	P
1034-P	P
74-187-365	P
74-187-365-P	P
973	P
973-P	P
1116-P	P
1031-1079-P	P
1155-P	P
124	P
265-505-857	P
265-505-857-P	P
1154-P	P
296-738-895-P	P
126-293-380-635-663-853-927	P
126-293-380-635-663-853-927-P	P
1249-P	P
1261-P	P
132-206-P	P
164-219	P
164-219-P	P
963-1016-P	P
1119-P	P
190	P
356	P
356-P	P
570-728	P
570-728-P	P
1033-P	P
1254-P	P
1111-P	P
1206-P	P
721	P
721-P	P
977-1022	P
977-1022-P	P
1250-P	P
227-254	P
399	P
399-P	P
1039-P	P
402-479-557-596-860	P
402-479-557-596-860-P	P
937	P
937-P	P
1219-P	P
1253-P	P
246	P
498-P	P
952-P	P
387-634-772-P	P
489-P	P
609-P	P
672-P	P
729-P	P
778	P
778-P	P
1256-P	P
811-P	P
861-934-P	P
1-6-M1	M1
754-M1	M1
806-898-M1	M1
871-M1	M1
899-M1	M1
943-M1	M1
995-M1	M1
1140-M1	M1
1145-M1	M1
1174-M1	M1
1186-M1	M1
1191-M1	M1
1229-M1	M1
1238-M1	M1
1266-M1	M1
1274-M1	M1
1280-M1	M1
1282-M1	M1
1288-M1	M1
125-449-618-650-1090-M1	M1
74-187-365-M2	M2
721-M2	M2
1054-M2	M2
1107-M2	M2
1200-M2	M2
1242-M2	M2
1243-M2	M2
1-6-M5	M5
977-1022-M5	M5
M1-0	P
M2-1	M2
M1-1	M1
