	0	1	2	3	4	5	6	7	8	9
11	17	34	14	0	0	50	0	6	0	12
13	17	34	42	14	8	0	0	0	8	34
14	43	34	8	33	43	32	14	14	34	17
24	42	34	0	0	4	20	14	46	14	8
29	0	34	37	28	14	48	14	12	17	0
32	42	34	27	0	4	20	14	46	0	8
37	42	34	27	37	4	20	14	46	0	8
40	44	34	37	28	14	48	14	12	17	8
41	44	34	37	28	14	48	14	12	17	8
43	0	34	8	19	40	20	28	0	8	0
44	8	34	22	8	45	8	33	32	8	43
45	19	34	22	8	45	8	33	32	8	43
46	42	34	27	0	4	20	14	46	0	8
47	42	34	27	0	4	20	14	46	0	8
49	15	34	17	46	43	32	14	14	0	17
50	28	34	37	28	14	48	14	12	17	0
51	28	34	37	28	14	48	14	12	17	0
55	0	34	8	19	40	0	32	0	8	0
56	42	34	14	0	4	20	14	46	14	8
58	39	34	0	30	43	32	14	14	25	17
60	28	34	0	46	43	32	14	14	34	17
61	0	34	0	46	43	32	14	14	0	17
62	0	34	0	30	43	32	14	14	25	17
65	0	34	0	4	0	0	6	30	8	8
67	42	34	14	28	4	20	14	46	14	8
68	42	34	14	0	4	20	14	46	14	8
69	42	34	14	0	4	20	14	46	14	8
70	0	34	0	8	45	8	33	32	8	43
74	0	34	8	30	43	32	14	14	25	17
76	0	34	0	46	43	32	14	14	20	17
77	46	34	0	46	43	32	14	14	20	17
78	0	34	8	30	43	32	14	14	25	17
79	0	34	8	30	43	32	14	14	25	17
80	42	34	27	14	4	20	14	46	34	8
82	0	34	8	19	40	0	0	0	8	0
83	0	34	8	19	40	0	0	0	8	0
85	42	34	27	0	4	20	14	46	0	8
86	0	34	0	4	0	0	6	30	8	8
87	0	34	0	4	0	0	6	30	8	8
89	0	34	0	8	45	8	33	32	8	43
90	42	34	27	0	4	20	14	46	0	8
91	42	34	27	0	4	20	14	46	0	8
92	0	34	8	19	40	14	0	0	8	39
93	40	34	8	19	40	14	0	0	8	39
94	0	34	0	4	0	0	6	30	8	8
95	0	34	0	4	0	0	6	30	8	8
96	0	34	0	8	45	8	33	32	8	43
97	0	34	0	8	45	8	33	32	8	43
98	42	34	27	0	4	20	14	46	34	8
99	42	34	27	0	4	20	14	46	34	8
