	0	1	2	3	4	5	6	7	8	9
11	2	18	3	0	0	31	49	2	15	20
13	50	18	3	3	0	31	49	2	15	0
14	33	32	0	3	38	0	0	44	15	38
24	33	12	0	0	20	0	0	14	15	26
29	33	0	33	11	11	38	3	0	15	19
32	33	12	22	4	0	31	0	14	15	26
37	33	12	0	0	0	31	0	14	15	26
40	33	0	33	11	0	0	3	44	15	19
41	33	0	33	11	0	24	3	44	15	19
43	50	18	3	3	30	31	49	2	15	33
44	0	18	3	30	44	31	49	2	15	41
45	0	18	3	0	18	31	49	2	15	41
46	33	12	0	0	10	31	0	14	15	26
47	33	12	0	0	5	31	0	14	15	26
49	33	32	24	3	38	0	41	44	15	38
50	33	0	33	11	0	25	3	0	15	19
51	33	0	33	11	0	0	3	0	15	19
55	50	18	3	3	30	31	49	2	15	18
56	33	12	48	0	0	38	15	14	15	26
58	33	32	0	3	38	16	14	44	15	38
60	33	32	15	3	38	0	9	44	15	38
61	33	32	15	3	38	0	0	44	15	38
62	33	32	0	3	38	16	14	44	15	38
65	50	18	3	3	0	31	49	2	15	0
67	33	12	48	0	0	0	15	14	15	26
68	33	12	48	0	0	35	15	14	15	26
69	33	12	48	49	0	0	15	14	15	26
70	0	18	3	44	0	31	49	2	15	41
74	33	32	0	3	38	16	14	44	15	38
76	33	32	0	3	38	0	0	44	15	38
77	33	32	0	3	38	0	0	44	15	38
78	33	32	0	3	38	16	14	44	15	38
79	33	32	0	3	38	16	14	44	15	38
80	33	12	0	0	17	31	0	14	15	26
82	50	18	3	3	30	31	49	2	15	0
83	50	18	3	3	30	31	49	2	15	48
85	33	12	0	0	0	31	0	14	15	26
86	50	18	3	3	0	31	49	2	15	15
87	50	18	3	3	0	31	49	2	15	15
89	0	18	3	44	0	31	49	2	15	41
90	33	12	0	0	48	31	31	14	15	26
91	33	12	0	0	0	31	31	14	15	26
92	50	18	3	3	30	31	49	2	15	0
93	50	18	3	3	30	31	49	2	15	0
94	50	18	3	3	0	31	49	2	15	41
95	50	18	3	3	0	31	49	2	15	41
96	0	18	3	44	0	31	49	2	15	41
97	0	18	3	44	0	31	49	2	15	41
98	33	12	0	0	17	31	0	14	15	26
99	33	12	0	0	17	31	0	14	15	26
