	0	1	2	3	4	5	6	7	8	9
11	37	31	6	40	0	41	6	37	27	34
13	37	31	6	40	0	41	0	37	12	0
14	0	31	12	40	39	0	24	0	0	17
24	11	31	0	40	0	7	20	13	34	0
29	13	31	34	40	35	32	7	0	50	0
32	11	31	0	40	0	0	0	0	34	10
37	11	31	13	40	0	37	47	0	34	0
40	13	31	34	40	35	0	7	47	38	0
41	13	31	34	40	35	0	7	0	13	13
43	37	31	6	40	11	41	0	37	12	49
44	37	31	6	40	0	41	47	37	32	37
45	37	31	6	40	0	41	47	37	32	37
46	11	31	13	40	49	13	47	27	34	0
47	11	31	13	40	49	13	47	0	34	0
49	34	31	12	40	0	44	40	19	0	0
50	13	31	34	40	35	12	7	0	0	0
51	13	31	34	40	35	34	7	0	0	17
55	37	31	6	40	41	41	0	37	12	0
56	11	31	0	40	5	40	25	13	34	0
58	26	31	12	40	0	0	23	10	0	0
60	34	31	12	40	0	0	40	19	0	0
61	34	31	12	40	0	6	40	19	0	0
62	26	31	12	40	0	0	23	10	0	37
65	37	31	6	40	45	41	0	37	12	0
67	11	31	0	40	5	0	0	13	34	0
68	11	31	0	40	5	0	37	13	34	0
69	11	31	0	40	5	0	0	13	34	0
70	37	31	6	40	34	41	32	37	37	37
74	26	31	12	40	0	0	23	10	34	38
76	34	31	12	40	49	9	40	40	0	32
77	34	31	12	40	49	9	40	40	0	0
78	26	31	12	40	0	0	23	10	0	4
79	26	31	12	40	0	0	23	10	0	4
80	11	31	0	40	0	12	47	40	34	0
82	37	31	6	40	0	41	0	37	12	0
83	37	31	6	40	0	41	0	37	12	0
85	11	31	0	40	10	0	0	9	34	0
86	37	31	6	40	45	41	0	37	12	49
87	37	31	6	40	45	41	0	37	12	49
89	37	31	6	40	0	41	32	37	37	37
90	11	31	0	40	10	0	0	0	34	0
91	11	31	0	40	10	0	0	0	34	0
92	37	31	6	40	41	41	0	37	12	0
93	37	31	6	40	41	41	0	37	12	0
94	37	31	6	40	45	41	0	37	12	0
95	37	31	6	40	45	41	0	37	12	0
96	37	31	6	40	0	41	32	37	37	37
97	37	31	6	40	0	41	32	37	37	37
98	11	31	0	40	0	12	47	40	34	0
99	11	31	0	40	0	12	47	40	34	0
